,mean reward,Machine Cost,method
700,-8500,300,Supervisory
701,209400,300,Supervisory
702,144800,300,Supervisory
703,162100,300,Supervisory
704,81200,300,Supervisory
705,9700,300,Supervisory
706,120900,300,Supervisory
707,151800,300,Supervisory
708,76100,300,Supervisory
709,161200,300,Supervisory
710,100300,300,Supervisory
711,200000,300,Supervisory
712,42100,300,Supervisory
713,94200,300,Supervisory
714,203600,300,Supervisory
715,124800,300,Supervisory
716,140000,300,Supervisory
717,131500,300,Supervisory
718,114200,300,Supervisory
719,200000,300,Supervisory
720,89700,300,Supervisory
721,93000,300,Supervisory
722,138500,300,Supervisory
723,109400,300,Supervisory
724,-23300,300,Supervisory
725,124800,300,Supervisory
726,201200,300,Supervisory
727,101800,300,Supervisory
728,100900,300,Supervisory
729,159700,300,Supervisory
730,39400,300,Supervisory
731,68500,300,Supervisory
732,62100,300,Supervisory
733,121500,300,Supervisory
734,157000,300,Supervisory
735,109700,300,Supervisory
736,98800,300,Supervisory
737,131500,300,Supervisory
738,101200,300,Supervisory
739,133000,300,Supervisory
740,109700,300,Supervisory
741,148200,300,Supervisory
742,153300,300,Supervisory
743,73900,300,Supervisory
744,61200,300,Supervisory
745,179700,300,Supervisory
746,171500,300,Supervisory
747,179100,300,Supervisory
748,53000,300,Supervisory
749,162100,300,Supervisory
750,147080,400,Supervisory
751,179480,400,Supervisory
752,153280,400,Supervisory
753,194270,400,Supervisory
754,192480,400,Supervisory
755,134080,400,Supervisory
756,143070,400,Supervisory
757,142280,400,Supervisory
758,125070,400,Supervisory
759,99890,400,Supervisory
760,33870,400,Supervisory
761,-2910,400,Supervisory
762,187070,400,Supervisory
763,140280,400,Supervisory
764,132870,400,Supervisory
765,198690,400,Supervisory
766,13680,400,Supervisory
767,193480,400,Supervisory
768,145070,400,Supervisory
769,148290,400,Supervisory
770,101080,400,Supervisory
771,188680,400,Supervisory
772,201290,400,Supervisory
773,183480,400,Supervisory
774,140690,400,Supervisory
775,150690,400,Supervisory
776,144880,400,Supervisory
777,93270,400,Supervisory
778,111280,400,Supervisory
779,154080,400,Supervisory
780,163880,400,Supervisory
781,84070,400,Supervisory
782,138880,400,Supervisory
783,73280,400,Supervisory
784,89080,400,Supervisory
785,185290,400,Supervisory
786,15070,400,Supervisory
787,179870,400,Supervisory
788,34070,400,Supervisory
789,139480,400,Supervisory
790,140270,400,Supervisory
791,110690,400,Supervisory
792,127470,400,Supervisory
793,136290,400,Supervisory
794,78080,400,Supervisory
795,131070,400,Supervisory
796,12670,400,Supervisory
797,78700,400,Supervisory
798,186480,400,Supervisory
799,194480,400,Supervisory
800,121380,500,Supervisory
801,57870,500,Supervisory
802,179880,500,Supervisory
803,180880,500,Supervisory
804,66870,500,Supervisory
805,106390,500,Supervisory
806,146380,500,Supervisory
807,173880,500,Supervisory
808,134880,500,Supervisory
809,143880,500,Supervisory
810,115370,500,Supervisory
811,133390,500,Supervisory
812,97380,500,Supervisory
813,143390,500,Supervisory
814,120380,500,Supervisory
815,150370,500,Supervisory
816,87880,500,Supervisory
817,194890,500,Supervisory
818,25390,500,Supervisory
819,12880,500,Supervisory
820,120880,500,Supervisory
821,135380,500,Supervisory
822,187880,500,Supervisory
823,126370,500,Supervisory
824,174880,500,Supervisory
825,76380,500,Supervisory
826,6880,500,Supervisory
827,184880,500,Supervisory
828,180380,500,Supervisory
829,64890,500,Supervisory
830,124380,500,Supervisory
831,78870,500,Supervisory
832,133880,500,Supervisory
833,132380,500,Supervisory
834,68400,500,Supervisory
835,147880,500,Supervisory
836,120390,500,Supervisory
837,140880,500,Supervisory
838,142870,500,Supervisory
839,93890,500,Supervisory
840,180380,500,Supervisory
841,144370,500,Supervisory
842,179380,500,Supervisory
843,41890,500,Supervisory
844,179390,500,Supervisory
845,130390,500,Supervisory
846,128380,500,Supervisory
847,61360,500,Supervisory
848,75880,500,Supervisory
849,177890,500,Supervisory
850,139880,1000,Supervisory
851,141880,1000,Supervisory
852,37880,1000,Supervisory
