,mean reward,Rework Cost,method
773,229050,7000,Supervisory
774,229040,7000,Supervisory
775,228980,7000,Supervisory
776,161910,7000,Supervisory
777,229020,7000,Supervisory
778,58990,7000,Supervisory
779,209110,7000,Supervisory
780,209120,7000,Supervisory
781,219080,7000,Supervisory
782,132010,7000,Supervisory
783,174970,7000,Supervisory
784,169010,7000,Supervisory
785,179110,7000,Supervisory
786,219140,7000,Supervisory
787,179160,7000,Supervisory
788,229060,7000,Supervisory
789,51990,7000,Supervisory
790,139060,7000,Supervisory
791,181940,7000,Supervisory
792,169020,7000,Supervisory
793,228980,7000,Supervisory
794,222010,7000,Supervisory
795,238990,7000,Supervisory
796,114980,7000,Supervisory
797,171940,7000,Supervisory
798,119080,7000,Supervisory
799,209170,7000,Supervisory
800,59060,8000,Supervisory
801,129010,8000,Supervisory
802,209160,8000,Supervisory
803,159100,8000,Supervisory
804,230850,8000,Supervisory
805,201130,8000,Supervisory
806,151030,8000,Supervisory
807,219080,8000,Supervisory
808,112980,8000,Supervisory
809,161090,8000,Supervisory
810,139050,8000,Supervisory
811,189060,8000,Supervisory
812,89030,8000,Supervisory
813,130910,8000,Supervisory
814,219070,8000,Supervisory
815,169000,8000,Supervisory
816,122930,8000,Supervisory
817,180980,8000,Supervisory
818,62910,8000,Supervisory
819,171030,8000,Supervisory
820,70910,8000,Supervisory
821,189030,8000,Supervisory
822,59000,8000,Supervisory
823,169040,8000,Supervisory
824,221010,8000,Supervisory
825,161090,8000,Supervisory
826,198920,8000,Supervisory
827,139010,8000,Supervisory
828,101080,8000,Supervisory
829,139060,8000,Supervisory
830,139060,8000,Supervisory
831,139170,8000,Supervisory
832,219080,8000,Supervisory
833,169040,8000,Supervisory
834,170900,8000,Supervisory
835,219100,8000,Supervisory
836,128960,8000,Supervisory
837,179060,8000,Supervisory
838,179100,8000,Supervisory
839,189000,8000,Supervisory
840,219030,8000,Supervisory
841,178980,8000,Supervisory
842,211090,8000,Supervisory
843,229040,8000,Supervisory
844,189050,8000,Supervisory
845,181090,8000,Supervisory
846,228990,8000,Supervisory
847,80970,8000,Supervisory
848,229050,8000,Supervisory
849,239010,8000,Supervisory
850,160070,9000,Supervisory
851,210920,9000,Supervisory
852,59000,9000,Supervisory
853,129030,9000,Supervisory
854,189010,9000,Supervisory
855,201910,9000,Supervisory
856,179040,9000,Supervisory
857,161910,9000,Supervisory
858,179100,9000,Supervisory
859,188980,9000,Supervisory
860,159060,9000,Supervisory
861,169020,9000,Supervisory
862,139050,9000,Supervisory
863,109990,9000,Supervisory
864,219080,9000,Supervisory
865,219980,9000,Supervisory
866,49940,9000,Supervisory
867,120040,9000,Supervisory
868,129150,9000,Supervisory
869,219140,9000,Supervisory
870,170070,9000,Supervisory
871,209110,9000,Supervisory
872,119080,9000,Supervisory
873,159060,9000,Supervisory
874,159060,9000,Supervisory
875,169990,9000,Supervisory
876,169090,9000,Supervisory
877,119140,9000,Supervisory
878,19090,9000,Supervisory
879,159090,9000,Supervisory
880,100000,9000,Supervisory
881,59990,9000,Supervisory
882,220010,9000,Supervisory
883,178970,9000,Supervisory
884,149000,9000,Supervisory
885,219030,9000,Supervisory
886,189080,9000,Supervisory
887,189070,9000,Supervisory
888,189060,9000,Supervisory
889,169070,9000,Supervisory
890,119080,9000,Supervisory
891,160090,9000,Supervisory
892,189000,9000,Supervisory
