,mean reward,Rejection Type 1 Probability,method
676,56870,50.0,Supervisory
677,39100,50.0,Supervisory
678,119060,50.0,Supervisory
679,98010,50.0,Supervisory
680,179170,50.0,Supervisory
681,159060,50.0,Supervisory
682,77970,50.0,Supervisory
683,169000,50.0,Supervisory
684,129050,50.0,Supervisory
685,227980,50.0,Supervisory
686,129000,50.0,Supervisory
687,109100,50.0,Supervisory
688,109080,50.0,Supervisory
689,69000,50.0,Supervisory
690,144830,50.0,Supervisory
691,228010,50.0,Supervisory
692,119070,50.0,Supervisory
693,159100,50.0,Supervisory
694,108970,50.0,Supervisory
695,177060,50.0,Supervisory
696,109040,50.0,Supervisory
697,219100,50.0,Supervisory
698,218030,50.0,Supervisory
699,76960,50.0,Supervisory
700,169030,60.0,Supervisory
701,68990,60.0,Supervisory
702,218070,60.0,Supervisory
703,107940,60.0,Supervisory
704,79130,60.0,Supervisory
705,168030,60.0,Supervisory
706,128050,60.0,Supervisory
707,67970,60.0,Supervisory
708,209120,60.0,Supervisory
709,119070,60.0,Supervisory
710,69080,60.0,Supervisory
711,107970,60.0,Supervisory
712,159100,60.0,Supervisory
713,128050,60.0,Supervisory
714,149120,60.0,Supervisory
715,138930,60.0,Supervisory
716,165960,60.0,Supervisory
717,158030,60.0,Supervisory
718,109040,60.0,Supervisory
719,99030,60.0,Supervisory
720,68030,60.0,Supervisory
721,159000,60.0,Supervisory
722,116900,60.0,Supervisory
723,229000,60.0,Supervisory
724,159170,60.0,Supervisory
725,128990,60.0,Supervisory
726,168110,60.0,Supervisory
727,59160,60.0,Supervisory
728,159050,60.0,Supervisory
729,166990,60.0,Supervisory
730,99140,60.0,Supervisory
731,128030,60.0,Supervisory
732,216930,60.0,Supervisory
733,178110,60.0,Supervisory
734,148140,60.0,Supervisory
735,166930,60.0,Supervisory
736,159080,60.0,Supervisory
737,159100,60.0,Supervisory
738,127040,60.0,Supervisory
739,159140,60.0,Supervisory
740,169020,60.0,Supervisory
741,78020,60.0,Supervisory
742,159070,60.0,Supervisory
743,79100,60.0,Supervisory
744,155970,60.0,Supervisory
745,137950,60.0,Supervisory
746,59100,60.0,Supervisory
747,96990,60.0,Supervisory
748,108030,60.0,Supervisory
749,69060,60.0,Supervisory
750,188990,70.0,Supervisory
751,227920,70.0,Supervisory
752,119000,70.0,Supervisory
753,67950,70.0,Supervisory
754,149160,70.0,Supervisory
755,99040,70.0,Supervisory
756,159060,70.0,Supervisory
757,159070,70.0,Supervisory
758,45900,70.0,Supervisory
759,39150,70.0,Supervisory
760,68960,70.0,Supervisory
761,98080,70.0,Supervisory
762,69040,70.0,Supervisory
763,119060,70.0,Supervisory
764,88010,70.0,Supervisory
765,109100,70.0,Supervisory
766,116950,70.0,Supervisory
767,179100,70.0,Supervisory
768,116920,70.0,Supervisory
769,58070,70.0,Supervisory
770,68950,70.0,Supervisory
771,175860,70.0,Supervisory
772,218060,70.0,Supervisory
773,165930,70.0,Supervisory
774,168980,70.0,Supervisory
775,107060,70.0,Supervisory
776,-31950,70.0,Supervisory
777,67970,70.0,Supervisory
778,168010,70.0,Supervisory
779,159100,70.0,Supervisory
780,109130,70.0,Supervisory
781,8050,70.0,Supervisory
782,128010,70.0,Supervisory
783,68970,70.0,Supervisory
784,107970,70.0,Supervisory
785,57020,70.0,Supervisory
786,99070,70.0,Supervisory
787,156010,70.0,Supervisory
788,98070,70.0,Supervisory
789,167010,70.0,Supervisory
790,158140,70.0,Supervisory
791,109140,70.0,Supervisory
792,69110,70.0,Supervisory
793,219100,70.0,Supervisory
794,109110,70.0,Supervisory
795,79130,70.0,Supervisory
796,69110,70.0,Supervisory
797,159100,70.0,Supervisory
798,8010,70.0,Supervisory
799,106920,70.0,Supervisory
800,8010,80.0,Supervisory
801,159100,80.0,Supervisory
802,107970,80.0,Supervisory
803,7970,80.0,Supervisory
804,-45170,80.0,Supervisory
805,119060,80.0,Supervisory
806,106980,80.0,Supervisory
807,165850,80.0,Supervisory
808,79040,80.0,Supervisory
809,9020,80.0,Supervisory
810,158060,80.0,Supervisory
811,169060,80.0,Supervisory
812,58070,80.0,Supervisory
813,149170,80.0,Supervisory
814,118110,80.0,Supervisory
815,99060,80.0,Supervisory
816,55870,80.0,Supervisory
817,48030,80.0,Supervisory
818,-4150,80.0,Supervisory
819,116860,80.0,Supervisory
820,65800,80.0,Supervisory
821,126930,80.0,Supervisory
822,149170,80.0,Supervisory
823,66900,80.0,Supervisory
824,97100,80.0,Supervisory
825,109000,80.0,Supervisory
826,166910,80.0,Supervisory
827,86930,80.0,Supervisory
828,136920,80.0,Supervisory
829,158040,80.0,Supervisory
830,5970,80.0,Supervisory
831,52810,80.0,Supervisory
832,117980,80.0,Supervisory
833,149160,80.0,Supervisory
834,-32030,80.0,Supervisory
835,97010,80.0,Supervisory
