,mean reward,Rejection Type 1 Probability,method
595,178980,30.0,Supervisory
596,219060,30.0,Supervisory
597,247910,30.0,Supervisory
598,127900,30.0,Supervisory
599,209130,30.0,Supervisory
600,237980,40.0,Supervisory
601,69070,40.0,Supervisory
602,148040,40.0,Supervisory
603,178960,40.0,Supervisory
604,99060,40.0,Supervisory
605,158070,40.0,Supervisory
606,79020,40.0,Supervisory
607,159160,40.0,Supervisory
608,219100,40.0,Supervisory
609,227980,40.0,Supervisory
610,118060,40.0,Supervisory
611,158090,40.0,Supervisory
612,173930,40.0,Supervisory
613,29080,40.0,Supervisory
614,127970,40.0,Supervisory
615,157980,40.0,Supervisory
616,96990,40.0,Supervisory
617,159060,40.0,Supervisory
618,215960,40.0,Supervisory
619,189030,40.0,Supervisory
620,167980,40.0,Supervisory
621,228980,40.0,Supervisory
622,128010,40.0,Supervisory
623,189010,40.0,Supervisory
624,18030,40.0,Supervisory
625,127950,40.0,Supervisory
626,229040,40.0,Supervisory
627,209140,40.0,Supervisory
628,169060,40.0,Supervisory
629,217950,40.0,Supervisory
630,237910,40.0,Supervisory
631,115850,40.0,Supervisory
632,175890,40.0,Supervisory
633,229110,40.0,Supervisory
634,218070,40.0,Supervisory
635,69000,40.0,Supervisory
636,69000,40.0,Supervisory
637,229050,40.0,Supervisory
638,148090,40.0,Supervisory
639,129010,40.0,Supervisory
640,119020,40.0,Supervisory
641,219120,40.0,Supervisory
642,179110,40.0,Supervisory
643,229040,40.0,Supervisory
644,59100,40.0,Supervisory
645,169040,40.0,Supervisory
646,229000,40.0,Supervisory
647,227980,40.0,Supervisory
648,208090,40.0,Supervisory
649,168100,40.0,Supervisory
650,47960,50.0,Supervisory
651,69030,50.0,Supervisory
652,219080,50.0,Supervisory
653,169190,50.0,Supervisory
654,168100,50.0,Supervisory
655,119070,50.0,Supervisory
656,168980,50.0,Supervisory
657,225930,50.0,Supervisory
658,109120,50.0,Supervisory
659,226990,50.0,Supervisory
660,8990,50.0,Supervisory
661,118900,50.0,Supervisory
662,226950,50.0,Supervisory
663,159130,50.0,Supervisory
664,37890,50.0,Supervisory
665,158070,50.0,Supervisory
666,108080,50.0,Supervisory
667,189040,50.0,Supervisory
668,168010,50.0,Supervisory
669,179070,50.0,Supervisory
670,229000,50.0,Supervisory
671,59120,50.0,Supervisory
672,177950,50.0,Supervisory
673,219120,50.0,Supervisory
674,18070,50.0,Supervisory
675,159080,50.0,Supervisory
676,168980,50.0,Supervisory
677,137950,50.0,Supervisory
678,179050,50.0,Supervisory
679,219100,50.0,Supervisory
680,119100,50.0,Supervisory
681,158040,50.0,Supervisory
682,168960,50.0,Supervisory
683,66920,50.0,Supervisory
684,118030,50.0,Supervisory
685,129100,50.0,Supervisory
686,229040,50.0,Supervisory
687,159030,50.0,Supervisory
688,58070,50.0,Supervisory
689,195900,50.0,Supervisory
690,158040,50.0,Supervisory
691,219060,50.0,Supervisory
692,78010,50.0,Supervisory
693,209080,50.0,Supervisory
694,49090,50.0,Supervisory
695,189000,50.0,Supervisory
696,28010,50.0,Supervisory
697,118050,50.0,Supervisory
698,227970,50.0,Supervisory
699,168030,50.0,Supervisory
700,129120,60.0,Supervisory
701,218050,60.0,Supervisory
702,78010,60.0,Supervisory
703,176900,60.0,Supervisory
704,119060,60.0,Supervisory
705,217990,60.0,Supervisory
706,119110,60.0,Supervisory
707,178030,60.0,Supervisory
708,46010,60.0,Supervisory
709,28010,60.0,Supervisory
710,117980,60.0,Supervisory
711,218050,60.0,Supervisory
712,108980,60.0,Supervisory
713,116920,60.0,Supervisory
714,107970,60.0,Supervisory
715,56860,60.0,Supervisory
716,128950,60.0,Supervisory
717,219100,60.0,Supervisory
718,218060,60.0,Supervisory
719,209160,60.0,Supervisory
720,107950,60.0,Supervisory
721,169120,60.0,Supervisory
722,56890,60.0,Supervisory
723,78040,60.0,Supervisory
724,119070,60.0,Supervisory
725,168110,60.0,Supervisory
726,178010,60.0,Supervisory
727,108010,60.0,Supervisory
728,167000,60.0,Supervisory
729,107040,60.0,Supervisory
730,108010,60.0,Supervisory
731,98060,60.0,Supervisory
732,-42110,60.0,Supervisory
733,57960,60.0,Supervisory
734,128990,60.0,Supervisory
735,129100,60.0,Supervisory
736,18970,60.0,Supervisory
737,99100,60.0,Supervisory
