,mean reward,Machine Cost,method
613,92400,300,Supervisory
614,141800,300,Supervisory
615,182400,300,Supervisory
616,139000,300,Supervisory
617,193600,300,Supervisory
618,138100,300,Supervisory
619,184800,300,Supervisory
620,91800,300,Supervisory
621,150000,300,Supervisory
622,140800,300,Supervisory
623,143500,300,Supervisory
624,99700,300,Supervisory
625,132300,300,Supervisory
626,190600,300,Supervisory
627,89900,300,Supervisory
628,190200,300,Supervisory
629,148800,300,Supervisory
630,129000,300,Supervisory
631,143000,300,Supervisory
632,101800,300,Supervisory
633,131200,300,Supervisory
634,146000,300,Supervisory
635,146000,300,Supervisory
636,143600,300,Supervisory
637,108200,300,Supervisory
638,144800,300,Supervisory
639,169100,300,Supervisory
640,147600,300,Supervisory
641,191500,300,Supervisory
642,157100,300,Supervisory
643,192900,300,Supervisory
644,109300,300,Supervisory
645,196600,300,Supervisory
646,132400,300,Supervisory
647,83600,300,Supervisory
648,111100,300,Supervisory
649,42400,300,Supervisory
650,15600,400,Supervisory
651,92000,400,Supervisory
652,176400,400,Supervisory
653,187600,400,Supervisory
654,116800,400,Supervisory
655,150400,400,Supervisory
656,121400,400,Supervisory
657,149400,400,Supervisory
658,200800,400,Supervisory
659,102000,400,Supervisory
660,187800,400,Supervisory
661,123200,400,Supervisory
662,150800,400,Supervisory
663,184800,400,Supervisory
664,93200,400,Supervisory
665,139800,400,Supervisory
666,122400,400,Supervisory
667,157400,400,Supervisory
668,172000,400,Supervisory
669,145800,400,Supervisory
670,150000,400,Supervisory
671,87200,400,Supervisory
672,192000,400,Supervisory
673,132400,400,Supervisory
674,-9600,400,Supervisory
675,101800,400,Supervisory
676,137600,400,Supervisory
677,142800,400,Supervisory
678,130400,400,Supervisory
679,50800,400,Supervisory
680,130200,400,Supervisory
681,35400,400,Supervisory
682,144000,400,Supervisory
683,132800,400,Supervisory
684,106800,400,Supervisory
685,134800,400,Supervisory
686,72000,400,Supervisory
687,122400,400,Supervisory
688,184800,400,Supervisory
689,146400,400,Supervisory
690,127400,400,Supervisory
691,191600,400,Supervisory
692,181800,400,Supervisory
693,139000,400,Supervisory
694,129400,400,Supervisory
695,148200,400,Supervisory
696,191000,400,Supervisory
697,70400,400,Supervisory
698,83200,400,Supervisory
699,102400,400,Supervisory
700,192500,500,Supervisory
701,132500,500,Supervisory
702,145500,500,Supervisory
703,95500,500,Supervisory
704,124000,500,Supervisory
705,188000,500,Supervisory
706,186500,500,Supervisory
707,187000,500,Supervisory
708,180000,500,Supervisory
709,136500,500,Supervisory
710,97500,500,Supervisory
711,40500,500,Supervisory
712,38000,500,Supervisory
713,31500,500,Supervisory
714,180500,500,Supervisory
715,143000,500,Supervisory
716,54500,500,Supervisory
717,89000,500,Supervisory
718,129000,500,Supervisory
719,40500,500,Supervisory
720,23000,500,Supervisory
721,110000,500,Supervisory
722,-31000,500,Supervisory
723,114500,500,Supervisory
724,74000,500,Supervisory
725,99500,500,Supervisory
726,117000,500,Supervisory
727,-39000,500,Supervisory
728,106500,500,Supervisory
729,173500,500,Supervisory
730,53000,500,Supervisory
731,177500,500,Supervisory
732,130500,500,Supervisory
733,110000,500,Supervisory
