,mean reward,Rejection Type 1 Cost,method
548,133980,22500,Supervisory
549,179080,22500,Supervisory
550,229110,25000,Supervisory
551,134040,25000,Supervisory
552,124110,25000,Supervisory
553,134050,25000,Supervisory
554,163070,25000,Supervisory
555,229040,25000,Supervisory
556,173990,25000,Supervisory
557,198960,25000,Supervisory
558,133030,25000,Supervisory
559,189040,25000,Supervisory
560,99020,25000,Supervisory
561,117960,25000,Supervisory
562,227990,25000,Supervisory
563,188960,25000,Supervisory
564,207850,25000,Supervisory
565,189040,25000,Supervisory
566,179080,25000,Supervisory
567,134060,25000,Supervisory
568,226930,25000,Supervisory
569,189060,25000,Supervisory
570,219080,25000,Supervisory
571,238990,25000,Supervisory
572,178000,25000,Supervisory
573,172960,25000,Supervisory
574,218110,25000,Supervisory
575,239010,25000,Supervisory
576,164100,25000,Supervisory
577,138030,25000,Supervisory
578,178030,25000,Supervisory
579,164100,25000,Supervisory
580,119040,25000,Supervisory
581,229060,25000,Supervisory
582,114120,25000,Supervisory
583,219140,25000,Supervisory
584,229080,25000,Supervisory
585,148990,25000,Supervisory
586,94070,25000,Supervisory
587,219110,25000,Supervisory
588,137030,25000,Supervisory
589,164010,25000,Supervisory
590,219080,25000,Supervisory
591,132930,25000,Supervisory
592,164000,25000,Supervisory
593,174020,25000,Supervisory
594,219040,25000,Supervisory
595,179100,25000,Supervisory
596,139040,25000,Supervisory
597,77990,25000,Supervisory
598,219080,25000,Supervisory
599,139100,25000,Supervisory
600,169160,27500,Supervisory
601,228040,27500,Supervisory
602,229000,27500,Supervisory
603,91540,27500,Supervisory
604,181460,27500,Supervisory
605,217010,27500,Supervisory
606,219080,27500,Supervisory
607,171560,27500,Supervisory
608,228020,27500,Supervisory
609,138030,27500,Supervisory
610,64420,27500,Supervisory
611,161660,27500,Supervisory
612,81590,27500,Supervisory
613,228070,27500,Supervisory
614,160530,27500,Supervisory
615,148960,27500,Supervisory
616,229000,27500,Supervisory
617,139050,27500,Supervisory
618,170510,27500,Supervisory
619,131510,27500,Supervisory
620,197950,27500,Supervisory
621,179070,27500,Supervisory
622,169030,27500,Supervisory
623,189010,27500,Supervisory
624,161610,27500,Supervisory
625,169000,27500,Supervisory
626,161550,27500,Supervisory
627,161610,27500,Supervisory
628,208090,27500,Supervisory
629,169100,27500,Supervisory
630,228000,27500,Supervisory
631,209080,27500,Supervisory
632,219090,27500,Supervisory
633,179050,27500,Supervisory
634,64120,27500,Supervisory
635,148950,27500,Supervisory
636,189000,27500,Supervisory
637,229050,27500,Supervisory
638,81470,27500,Supervisory
639,148990,27500,Supervisory
640,179030,27500,Supervisory
641,237950,27500,Supervisory
642,219050,27500,Supervisory
643,237900,27500,Supervisory
644,150550,27500,Supervisory
645,219110,27500,Supervisory
646,120590,27500,Supervisory
647,161650,27500,Supervisory
648,197910,27500,Supervisory
649,120510,27500,Supervisory
650,79060,30000,Supervisory
651,189020,30000,Supervisory
652,169100,30000,Supervisory
653,149130,30000,Supervisory
654,218040,30000,Supervisory
655,168130,30000,Supervisory
656,179000,30000,Supervisory
657,119100,30000,Supervisory
658,119070,30000,Supervisory
659,149170,30000,Supervisory
660,179040,30000,Supervisory
661,78950,30000,Supervisory
662,179050,30000,Supervisory
663,69120,30000,Supervisory
664,219090,30000,Supervisory
665,219010,30000,Supervisory
666,169020,30000,Supervisory
667,178960,30000,Supervisory
668,188040,30000,Supervisory
669,179100,30000,Supervisory
670,189050,30000,Supervisory
671,78030,30000,Supervisory
672,169040,30000,Supervisory
673,118020,30000,Supervisory
674,219100,30000,Supervisory
675,228060,30000,Supervisory
676,158030,30000,Supervisory
677,218080,30000,Supervisory
678,209160,30000,Supervisory
679,189040,30000,Supervisory
680,179080,30000,Supervisory
681,187990,30000,Supervisory
682,149130,30000,Supervisory
683,87980,30000,Supervisory
684,178910,30000,Supervisory
685,158060,30000,Supervisory
