,mean reward,Approval Type 1 Cost,method
786,179000,30000,Supervisory
787,137040,30000,Supervisory
788,173070,30000,Supervisory
789,114050,30000,Supervisory
790,96960,30000,Supervisory
791,164100,30000,Supervisory
792,179020,30000,Supervisory
793,229040,30000,Supervisory
794,187020,30000,Supervisory
795,229040,30000,Supervisory
796,203010,30000,Supervisory
797,189050,30000,Supervisory
798,179120,30000,Supervisory
799,88020,30000,Supervisory
800,142940,30000,Supervisory
801,228970,30000,Supervisory
802,269040,30000,Supervisory
803,116540,30000,Supervisory
804,184100,30000,Supervisory
805,211600,30000,Supervisory
806,176580,30000,Supervisory
807,166560,30000,Supervisory
808,148130,30000,Supervisory
809,144110,30000,Supervisory
810,229010,30000,Supervisory
811,194100,30000,Supervisory
812,209480,30000,Supervisory
813,211570,30000,Supervisory
814,170510,30000,Supervisory
815,48010,30000,Supervisory
816,201440,30000,Supervisory
817,234040,30000,Supervisory
818,85540,30000,Supervisory
819,154060,30000,Supervisory
820,144010,30000,Supervisory
821,234060,30000,Supervisory
822,183990,30000,Supervisory
823,234040,30000,Supervisory
824,176670,30000,Supervisory
825,165570,30000,Supervisory
826,251540,30000,Supervisory
827,251480,30000,Supervisory
828,69130,30000,Supervisory
829,144110,30000,Supervisory
830,99110,30000,Supervisory
831,160430,30000,Supervisory
832,133940,30000,Supervisory
833,211490,30000,Supervisory
834,216640,30000,Supervisory
835,142970,30000,Supervisory
836,136700,30000,Supervisory
837,170440,30000,Supervisory
838,154060,30000,Supervisory
839,126660,30000,Supervisory
840,75530,30000,Supervisory
841,251500,30000,Supervisory
842,234120,30000,Supervisory
843,211490,30000,Supervisory
844,90470,30000,Supervisory
845,183960,30000,Supervisory
846,66550,30000,Supervisory
847,75520,30000,Supervisory
848,233070,30000,Supervisory
849,36550,30000,Supervisory
850,79090,30000,Supervisory
851,188010,30000,Supervisory
852,169030,30000,Supervisory
853,138040,30000,Supervisory
854,199060,30000,Supervisory
855,207900,30000,Supervisory
856,58020,30000,Supervisory
857,238080,30000,Supervisory
858,189100,30000,Supervisory
859,178110,30000,Supervisory
860,68050,30000,Supervisory
861,219000,30000,Supervisory
862,179140,30000,Supervisory
863,239060,30000,Supervisory
864,256920,30000,Supervisory
865,239060,30000,Supervisory
866,169080,30000,Supervisory
867,239050,30000,Supervisory
868,259070,30000,Supervisory
869,239130,30000,Supervisory
870,149040,30000,Supervisory
871,259060,30000,Supervisory
872,219120,30000,Supervisory
873,177950,30000,Supervisory
874,239090,30000,Supervisory
875,259070,30000,Supervisory
876,239100,30000,Supervisory
877,219170,30000,Supervisory
878,199030,30000,Supervisory
879,278940,30000,Supervisory
880,239100,30000,Supervisory
881,199070,30000,Supervisory
882,179160,30000,Supervisory
883,139050,30000,Supervisory
884,258010,30000,Supervisory
885,179160,30000,Supervisory
886,169030,30000,Supervisory
887,169100,30000,Supervisory
888,189020,30000,Supervisory
889,199000,30000,Supervisory
890,188010,30000,Supervisory
891,199120,30000,Supervisory
892,218010,30000,Supervisory
893,148020,30000,Supervisory
894,59130,30000,Supervisory
