,mean reward,Rework Cost,method
403,210030,9000,Supervisory+RL
404,182980,9000,Supervisory+RL
405,210070,9000,Supervisory+RL
406,209170,9000,Supervisory+RL
407,219100,9000,Supervisory+RL
408,142960,9000,Supervisory+RL
409,210070,9000,Supervisory+RL
410,209990,9000,Supervisory+RL
411,209160,9000,Supervisory+RL
412,209160,9000,Supervisory+RL
413,160070,9000,Supervisory+RL
414,179180,9000,Supervisory+RL
415,220010,9000,Supervisory+RL
416,209180,9000,Supervisory+RL
417,201060,9000,Supervisory+RL
418,201040,9000,Supervisory+RL
419,151100,9000,Supervisory+RL
420,210080,9000,Supervisory+RL
421,189090,9000,Supervisory+RL
422,219070,9000,Supervisory+RL
423,229040,9000,Supervisory+RL
424,209220,9000,Supervisory+RL
425,201100,9000,Supervisory+RL
426,180070,9000,Supervisory+RL
427,209150,9000,Supervisory+RL
428,201040,9000,Supervisory+RL
429,200070,9000,Supervisory+RL
430,210070,9000,Supervisory+RL
431,210140,9000,Supervisory+RL
432,219120,9000,Supervisory+RL
433,160130,9000,Supervisory+RL
434,191120,9000,Supervisory+RL
435,179980,9000,Supervisory+RL
436,170070,9000,Supervisory+RL
437,160130,9000,Supervisory+RL
438,219100,9000,Supervisory+RL
439,219170,9000,Supervisory+RL
440,219110,9000,Supervisory+RL
441,192010,9000,Supervisory+RL
442,220010,9000,Supervisory+RL
443,229040,9000,Supervisory+RL
444,209080,9000,Supervisory+RL
445,219170,9000,Supervisory+RL
446,209230,9000,Supervisory+RL
447,179050,9000,Supervisory+RL
448,182050,9000,Supervisory+RL
449,201020,9000,Supervisory+RL
450,129010,1000,Supervisory
451,238910,1000,Supervisory
452,139100,1000,Supervisory
453,168000,1000,Supervisory
454,119100,1000,Supervisory
455,149040,1000,Supervisory
456,218070,1000,Supervisory
457,239010,1000,Supervisory
458,179110,1000,Supervisory
459,149130,1000,Supervisory
460,218130,1000,Supervisory
461,238920,1000,Supervisory
462,229040,1000,Supervisory
463,38060,1000,Supervisory
464,169080,1000,Supervisory
465,179100,1000,Supervisory
